Scientific Name,deutscher name,CAT,Criteria,NHV,Bemerkungen
Crepidotus ehrendorferi Hauskn. et Krisai,Bleiches Stummelfüsschen,CR,D1,,
Crepidotus versutus (Peck) Sacc.,Weichhaariger Krüppelfuß,NT,,,
Crinipellis scabella (Alb. et Schwein.: Fr.) Murrill,Wiesen-Haarschwindling,VU,"B1ab(iii,iv)",,
Cristinia gallica (Pilat) Juelich,Gallischer Rindenpilz,VU,B1ab(iv),,
Cristinia helvetica (Pers.) Parmasto,Schweizer-Rindenpilz,NT,,,
Crocicreas calathicola (Rehm) Carp.,Distel-Stengelbecherchen,NT,,,alpine Art bei Cirsium spinosis-simum
Cudoniella clavus (Alb. et Schwein.: Fr.) Dennis,Wasserkreisling,VU,B1ab(iv),,
Cyphella digitalis (Alb. et Schwein.: Fr.) Fr.,Tannen-Fingerhut,VU,B1ab(iv),,
Cyphellostereum laeve (Fr.: Fr.) D.A. Reid,Glatter Becher-Schichtpilz,EN,D1,,"nährstoffarme Böschungen, zwischen Moosen"
Cystoderma superbum Huijsman,Weinroter Körnchenschirmling,VU,B1ab(iv),,
Cystoderma terrei (Berk. et Broome) Harmaja,Zinnoberbrauner Körnchenschirmling,VU,B1ab(iv),,
Cystolepiota moelleri Knudsen,Rötlicher Mehlschirmling,EN,B1ab(iv),,
Dacrymyces minor Peck,Kleinste Gallertträne,NT,,,
Dacryobolus sudans (Alb. et Schwein.: Fr.) Fr.,Tränender Stachelrindenpilz,VU,B1ab(iv),,
Daldinia occidentalis Child,Oestlicher Holzkohlenpilz,EN,D1,,nur aus den Südalpen bekannt
Dendrothele acerina (Pers.: Fr.) P.A. Lemke,Ahorn-Baumwarzenpilz,NT,,,Alte Ahorne
Dentipellis fragilis (Pers.: Fr.) Donk,Zahnhaut,EN,B1ab(iv),,
Dermoloma cuneifolium (Fr.: Fr.) Bon,Keilblättriger Samtritterling,VU,B1ab(iii),,
Dermoloma pseudocuneifolium Herink ex Bon,Gefeldeter Samtritterling,EN,"B1ab(ii,iii)",,
Dichomitus campestris (Quel.) Dom. et Orl.,Schwärzende Tramete,VU,B1ab(iv),,
Diplomitoporus flavescens (Bres.) Domanski,Gilbende Nadelholz-Tramete,EN,B1ab(iv),,
Discina leucoxantha Bres.,Dottergelbe Scheibenlorchel,EN,D1,,
Discina melaleuca Bres.,Schwarzweiße Scheibenlorchel,EN,D1,,
Discina parma Breitenbach et Maas-Geest.,Schildförmige Scheibenlorchel,EN,D1,,
Disciseda bovista (Klotzsch) P.Henn.,Großer Scheibenbovist,CR,A1ac,,Letzte Fundmeldung 1950
Disciseda candida (Schwein.) Lloyd,Kleiner Scheibenbovist,EN,"B2ab(iii,iv)+D1",,"Walliser Steppenrasen, offene sandige Stellen"
Encoelia fascicularis (Alb. et Schwein.: Fr.) Karst.,Schwarzbrauner Büschelbecherling,EN,D1,,
Entoloma alpicola (J. Favre) Noordel.,Alpiner Rötling,VU,D1,,"alpine Art, eher selten"
Entoloma aprile (Britzelm.) Sacc.,April-Rötling,VU,"B1ab(iii,iv)",,"Frühlingspilz, mit dem Ulmensterben abnehmend"
Entoloma asprellum (Fr.: Fr.) Fayod,Körniger Rötling,VU,"B1ab(iii,iv)",,auch alpin
Entoloma atrocoeruleum Noordel.,Schwarzblauer Rötling,VU,D1,,auch alpin
Entoloma atrosericeum (Kuehner) Noordel.,Schwarzseidiger Rötling,VU,D1,,alpine Art
Entoloma bloxamii (Berk. et Broome) Sacc.,Blauer Rötling,EN,"B2ab(ii,iii)",,in mageren Wiesen und Weiden
Entoloma caccabus (Kuehner) Noordel.,Genabelter Rötling,EN,D1,,
Entoloma carneogriseum (Berk. et Broome) Noordel.,Lilagrauer Rötling,EN,"B1ab(iii,iv)",,
Entoloma clandestinum (Fr.) Noordeloos,Dickblättriger Rötling,EN,"B1ab(ii,iii)",,
Entoloma corvinum (Kuehner) Noordel.,Schwarzblauer Rötling,VU,B1ab(iii),,
Entoloma cuspidiferum (Kuehner et Romagn.) Noordel.,Spitzhütiger Rötling,EN,"B1ab(iii,iv)",,Letzte Fundmeldung 1999
Entoloma dichroum (Pers.: Fr.) P. Kumm.,Blaustieliger Holzrötling,VU,D1,,
Entoloma dysthaloides Noordel.,Behaarter Rötling,VU,D1,,
Entoloma elodes (Fr.: Fr.) P. Kumm.,Heide-Rötling,VU,D1,,zerstreut
Entoloma exile (Fr.) Hesler,Schmächtiger Rötling,EN,"B1ab(ii,iii)",,
Entoloma favrei Noordel.,Favre’s Rötling,EN,D1,,"zerstreut, wenig neuere Funde"
Entoloma griseocyaneum (Fr.) M.M. Moser,Graublauer Rötling,VU,B1ab(iii),,auch alpin
Entoloma griseoluridum (Kuehner) M.M. Moser,Graubrauner Rötling,VU,D1,,
Entoloma griseorubidum (Kuehner) Noordel.,Graueroter Rötling,EN,"B1ab(ii,iii)",,
Entoloma infula (Fr.) Noordel.,Bischofsmützen-Glöckling,VU,D1,,zerstreut
Entoloma jubatum (Fr.) Karst.,Rußblättriger Rötling,VU,D1,,
"Entoloma lanicum (Romagn.) Moser, Noordel.",Wolliger Nabelrötling,VU,D1,,
Entoloma lepidissimum (Svrcek) Noordel.,Blauschuppiger Rötling,VU,D1,,
Entoloma lividocyanulum Kuehner ex Noordel.,Graublaustieliger Rötling,EN,"B1ab(ii,iii)",,
Entoloma majaloides P.D. Orton,Gelbbrauner Rötling,VU,D1,,
Entoloma minutum (P. Karst.) Noordel.,Bräunlicher Erlen-Rötling,EN,D1,,zerstreut in Auenwäldern und Magerrasen
Entoloma neglectum (Lasch: Fr.) Moser,Isabellfarbener Nabelrötling,EN,D1,,
Entoloma phaeocyathus Noordel.,Becher-Nabeling,EN,D1,,
Entoloma placidum (Fr.:Fr.) Noordel.,Buchenwald-Rötling,VU,D1,,
Entoloma plebejum (Kalchbr.) Noordel.,Filzig-faseriger Rötling,EN,B1ab(iv),,
Entoloma porphyrophaeum (Fr.) P. Karst.,Porphyrbrauner Rötling,EN,B2ab(iii),,
Entoloma prunuloides (Fr.: Fr.) Quel.,Mehl-Rötling,VU,"B1ab(iii,iv)",,
Entoloma pseudocoelestinum Arnolds,Faserschuppiger Rötling,VU,D1,,
Entoloma pseudoturbidum (Romagn.) M.M. Moser,Sepiabrauner Rötling,VU,B1ab(iv),,"im ganzen Mittelland vertreten, jn den letzten 5 Jahren stark abnehmend"
Entoloma rhodocylix (Lasch: Fr.) M.M. Moser,Becher-Rötling,VU,D1,,
Entoloma roseum (Longyear) Hesler,Rosafarbiger Rötling,CR,D1,,
Entoloma saepium (Noulet et Dassier) Richon et Roze,Blaßbrauner Schlehen-Rötling,VU,"B1ab(iii,iv)",,"Frühlingspilz, Gebüsch"
Entoloma saundersii (Fr.) Sacc.,Silbergrauer Rötling,VU,D1,,Frühjahrspilz
Entoloma scabiosum (Fr.) Quel.,Grindiger Rötling,VU,D1,,
Entoloma sericatum (Britzelm.) Sacc.,Seidenhütiger Rötling,VU,D1,,
Entoloma sordidulum (Kuehner et Romagn.) P.D. Orton,Horngrauer Mehl-Rötling,VU,D1,,
Entoloma sphagnorum (Romagn. et J. Favre) Noordel.,Sumpf-Rötling,EN,D1,,
Entoloma strigosissimum (Rea) Noordel. 1979,Rothaariger Rötling,NT,,,
Entoloma tjallingiorum Noordel.,Tjallingis Rötling,VU,D1,,
Entoloma turci (Bres.) M.M. Moser,Breitstieliger Rötling,EN,"B1ab(ii,iii)",,
Entoloma versatile (Fr.) M.M. Moser,Olivbrauner Rötling,VU,D1,,
Entoloma vinaceum (Scop.) Arnolds et Noordel.,Weinroter Rötling,EN,D1,,
Entoloma xanthochroum (P.D. Orton) Noordel.,Gelblicher Rötling,VU,D1,,auch subalpin
Erythricium laetum (P. Karst.) J. Erikss. et Hjortstam,Leuchtender Rosarindenpilz,VU,B1ab(iv)+B2ab(iv)+D1,,
Exidia cartilaginea S. Lundell et Neuhoff,Knorpeliger Drüsling,CR,A2a,,Letzte Fundmeldung 1984
Exobasidium karstenii Sacc. et Trotter,Rosmarinheide-Nacktbasidie,EN,"B1ab(iii,iv)",,bereits Substratpflanze VU!
Exobasidium pachysporum Nannf.,Dicksporige Rauschbeernacktbasidie,EN,"B1ab(iii,iv)",,Letzte Fundmeldung 1998
Exobasidium rostrupii Nannf.,Rotfleckiger Moosbeernacktbasidie,NT,,,
Exobasidium vacciniiuliginosi Boud.,Rauschbeer-Nacktbasidie,VU,D1,,
Faerberia carbonaria (Alb. et Schwein.) Pouzar,Kohlenleistling,NT,,,Brandstellenpilz
Fibrodontia gossypina Parmasto,,NT,,,letzte Fundmeldung 1993
Fibroporia vaillantii (DC.: Fr.) Parmasto,,EN,A3a,,Letzte Fundmeldung 1991
Flammulaster carpophilus (Fr.) Earle,Fleischfarbiger Flockenschüppling,VU,B1ab(iv),,
Flammulaster ferrugineus (Maire ex Kuehner) Watling,Rostbrauner Flockenschüppling,EN,D1,,
Flammulaster granulosus (J.E. Lange) Watling,Körniger Flockenschüppling,EN,B2ab(iv),,
Flammulaster limulatus (Weinm.:Fr.) Watling,Orangebrauner Flockenschüppling,VU,D2,,
Flammulaster muricatus (Fr.) Watling,Grobwarziger Flockenschüppling,VU,D2,,
Flammulina fennae Bas,Fennas Samtfüssrübling,VU,D1,,"sandiger Boden, Auenwald, an Weiden und Birken"
Floccularia straminea (P. Kumm.) Pouzar,Schwefelgelber Schuppenritterling,CR,A1ac,,"Graslandart, letzte Fundmeldung 1975"
Fomitopsis rosea (Alb. et Schwein.: Fr.) P. Karst.,Rosenroter Baumschwamm,NT,,,
Galerina cinctula P.D. Orton,Gürtel-Helmling,EN,D1,,
Galerina jaapii A.H. Sm. et Singer,Beringter Häubling,EN,D1,,
Galerina pseudomniophila Kuehner,Schokoladenbrauner Häubling,EN,D1,,
Galerina pseudotundrae Kuehner,Kompakter Häubling,VU,D1,,alpine Art
Galerina salicicola P.D. Orton,Weiden-Häubling,EN,D1,,
Galerina sphagnorum (Pers.:Fr.) Kuehner,Sumpf-Häubling,NT,,,in Hochmooren
Galerina tibiicystis (G.F. Atk.) Kuehner,Bereifter Häubling,NT,,,in Hochmooren
Galzinia incrustans (Hoehn. et Litsch.) Parmasto,Krustiger Galzin-Pilz,VU,D1,,
Ganoderma resinaceum Boud.,Harziger Lackporling,VU,B1ab(iv),,
Ganoderma valesiacum Boud.,Walliser Lackporling,EN,D1,,
Gastrosporium simplex Matt.,Steppentrüffel,CR,"B1ab(ii,iii)+D1",,Xerotherme Standorte
Gautieria mexicana (Fischer) Zeller et Dodge,Kleinkammerige Morcheltrüffel,CR,A1ac,,Letzte Fundmeldung 1975
Geastrum coronatum Pers.: Pers.,Dunkler Erdstern,CR,A4a,,Letzte Fundmeldung 1956
Geastrum melanocephalum (Czern.) V.J. Stanek,"Riesen-Erdstern, Haarstern",EN,"B1ab(ii,iii)",,
Geastrum nanum Pers.,Zwerg-Erdstern,EN,D1,,
Geastrum striatum DC.: Pers.,Kragen-Erdstern,NT,,,wärmere Lagen
Geoglossum cookeianum Nannfeld,Trockene Erdzunge,EN,"B1ab(ii,iii)",,
Geoglossum glutinosum Pers.: Fr.,Klebrigschwarze Erdzunge,VU,D1,,Feuchtwiesen
Geopyxis foetida Velen.,Stinkender Kohlenbecherling,VU,D1,,
Gerronema brevibasidiatum (Singer) Singer,Papillen-Nabeltrichterchen,CR,A2ac,,Letzte Fundmeldung 1950
Gerronema josserandii Singer,Exzentrischer Trichterling,EN,"B1ab(ii,iii)",,"magere, saure Böden, Grasland, nur aus dem Tessin bekannt"
Gerronema marchantiae Singer et Clemencon,Lebermoos-Nabeltrichterchen,VU,D2,,
Gerronema prescotii (Weinm.) Redhead,Bräundendes Nabeltrichterchen,VU,"B1ab(iii,iv)",,
Gerronema strombodes (Berk. et Mont.) Singer,Gelbblättriger Holz-Nabeling,VU,D2,,
Gloeocystidiellum lactescens (Berk.) Boidin,Milchender Saftzystidling,VU,D1,,seltene Art
Gloeocystidiellum ochraceum (Fr.:Fr.) Donk,ockerfarbener Saftzystidling,VU,D1,,seltene Art
Gloeoporus dichrous (Fr.: Fr.) Bres.,Zweifarbiger Knorpelporling,VU,B1ab(iv),,
Gomphidius gracilis Berk. et Broome,Rotbrauner Schmierling,NT,,,Bei Lärchen
Gomphidius roseus (L.) Fr.,Rosenroter Schmierling,VU,B1ab(iii),,
Guepiniopsis buccina (Pers.: Fr.) L.L. Kenn.,Becherförmiger Haargellertpilz,VU,D1,,Genferbecken und Südschweiz
Gymnopilus flavus (Bres.) Singer,Blaßgelber Fälbling,EN,"B1ab(ii,iii)",,
Gymnopilus odini (Fr.) Kuehner et Romagn.,Kohlen-Fälbling,EN,D1,,Auch auf Brandstellen
Gymnopilus picreus (Pers.: Fr.) P. Karst.,Rotbrauner Flämmling,EN,D1,,
Gymnopilus stabilis (Weinm.) Kuehner et Romagn.,Weißbeschleierter Flämmling,EN,D1,,
Gymnopilus subsphaerosporus (Joss.) Kuehner et Romagn.,Kugelsporiger Flämmling,VU,D2,,Morsches Nadelholz
Gyromitra accumbens (Rahm) Harmaja,Anliegende Scheibenlorchel,VU,D1,,
Gyroporus castaneus (Bull.: Fr.) Quel.,"Hasenröhrling, Zimtröhrling",VU,B1ab(iii),,
Haasiella venustissima (Fr.) Kotl. et Pouzar,Orangeroter Goldnabeling,EN,D1,,
Hebeloma claviceps (Fr.) P. Kumm. ss. Ricken,Krempenrandiger Fälbling,EN,B2ab(iv),,Taxonomie wohl etwas unklar
Hebeloma fastibile (Pers.: Fr.) P. Kumm. ss. J.E. Lange,Büscheliger Fälbling,VU,"B1ab(iii,iv)",,
Hebeloma helodes J. Favre,Sumpffälbling,VU,D1,,
Hebeloma minus Bruchet,Freudiger Fälbling,VU,D1,,alpine Art
Hebeloma perpallidum M.M. Moser,,VU,D1,,
Hebeloma pumilum J.E. Lange,Zwerg-Fälbling,VU,D1,,
Hebeloma remyi Bruchet,Unbekannter Fälbling,VU,D1,,"subalpine Art, wenig bekannt"
Hebeloma sinuosum (Fr.) Quel.,Stolzer Fälbling,VU,D1,,
Hebeloma strophosum (Fr.) Sacc.,Flämmlings-Fälbling,VU,"B1ab(iii,iv)",,
Hebeloma syrjense P. Karst.,Seifen-Fälbling,VU,D1,,
Hebeloma tomentosum (M.M. Moser) Groeger et Zschieschang,Feinfilziger Fälbling,VU,D1,,
Hebeloma versipelle (Fr.) Gillet ssVU. Romagn.,Flämmlings-Fälbling,VU,D1,,
Helvella dissingii Korf,Dissing`s Lorchel,VU,B1ab(iv),,
Helvella phlebophora Pat. et Doass.,Rillstielige Lorchel,EN,B1ab(iv),,unter Laubbäumen
Helvella queletii Bres.,Rippenstielige Becherlorchel,VU,"B1ab(ii,iv)",,
Hemimycena crispata (Kuehner) Singer,Breitsporiger Scheinhelmling,VU,D1,,
Hemimycena mairei (E.J. Gilbert) Singer,Rasen-Scheinhelmling,EN,"B1ab(ii,iii)",,
Hemimycena ochrogaleata (J. Favre) M.M. Moser,Ockerhütiger Scheinhelmling,VU,D1,,An Cirsium spinosissimum
"Hericium coralloides (Scop.: Fr.) Gray em. Fr., Hallen.",Ästiger Stachelbart,VU,"B1ab(iii,iv)",,An grobem Laubholz
Hericium erinaceum (Bull.: Fr.) Pers.,Igel-Stachelbart,EN,"B1ab(ii,iv)+D1",,
Hohenbuehelia auriscalpium (Maire) Singer,Ohrlöffel-Muscheling,VU,D1,,Bis vor kurzem schlecht dokumentierte Art
Hohenbuehelia grisea (Peck) Singer,Grauer Muscheling,VU,D2,,
Hohenbuehelia longipes (Boud.) M.M. Moser,Moor-Muscheling,CR,D1,,"Moore, Sümpfe"
Hohenbuehelia mastrucata (Fr.: Fr.) Singer,Gelatinöser Muscheling,EN,B1ab(iv)+D1,,fehlt in der Westschweiz
Hohenbuehelia petaloides (Bull.: Fr.) Schulzer,Spatelförmiger Muscheling,NT,,,
Hyaloscypha leuconica (Cke) Nannf.,Weißhaariges Nadelholzbecherchen,NT,,,
Hydnellum auratile (Britzelm.) Maas-Geest.,Orangebrauner Korkstacheling,EN,"B1ab(iii,iv)+B2ab(ii)",,
Hydnellum compactum (Pers.: Fr.) P. Karst.,Derber Korkstacheling,EN,"B1ab(iii,iv)",,Letzte Fundmeldung 1987
Hydnellum geogenium (Fr.) Banker,Gelber Korkstacheling,EN,D1,,in Süddeutschland verschollen seit 1969
Hydnellum spongiosipes (Peck) Pouzar,Samtiger Korkstacheling,VU,D1,,
Hydnocystis piligera Tul.,Behaartes Hohltrüffelchen,VU,D1,,
Hydnum albidum Peck,Weißer Stoppelpilz,EN,"B1ab(iii,iv)+B2ab(iii)",,
Hydropus atramentosus (Kalchbr.) Kotl. et Pouzar,Schwärzender Wasserfuß,EN,D1,,an morschem Nadelholz
Hydropus scabripes (Murrill) Singer,Knorpelstieliger Wasserfuss,VU,D1,,
Hygrocybe calciphila Arnolds,Schmutziger Filz-Saftling,VU,"B1ab(ii,iii)",,Grasland
Hygrocybe calyptriformis (Berk. et Broome) Fayod,Rosenroter Saftling,CR,C1+C2a(i),§CH,Grasland
Hygrocybe ceracea (Wulfen: Fr.) P. Kumm.,Zerbrechlicher Saftling,VU,B1ab(iii),,Grasland
Hygrocybe citrinovirens (J.E. Lange) Jul. Schaeff.,Kleinhütiger Saftling,NT,,,"Grasland, moosig, feucht"
Hygrocybe coccineocrenata (P.D. Orton) M.M. Moser,Torfmoos-Saftling,EN,C1+C2a(i),,sumpfige Standorte mit Sphagnum und Molinia
Hygrocybe conicopalustris R. Haller,Kegeliger Sumpf-Saftling,NT,,,"Grasland, sumpfig"
Hygrocybe fornicata (Fr.) Singer,Blaßrandiger Saftling,VU,"B1ab(iii,iv)",,Grasland
Hygrocybe helobia (Arnolds) Bon,Gelbblättriger Filz-Saftling,VU,B1ab(iii),,"sumpfige Standorte, Moore"
Hygrocybe ingrata J.L. Jensen et F.H. Moeller,Rötender Nitrat-Saftling,EN,"B1ab(iii,iv)",,Grasland
Hygrocybe insipida (J.E. Lange ex S. Lundell) M.M. Moser,Gelbrandiger Saftling,EN,"B1ab(ii,iii)",,Grasland
Hygrocybe intermedia (Pass.) Fayod,Trockener Saftling,NT,,,Grasland
Hygrocybe konradii R. Haller,Chromgelber Saftling,VU,"B1ab(ii,iii,iv)",,Grasland
Hygrocybe laeta (Pers.: Fr.) P. Kumm.,Zäher Saftling,VU,"B1ab(ii,iii)",,Grasland
Hygrocybe miniata (Fr.) P. Kumm.,Mennigroter Filz-Saftling,NT,,,Grasland
Hygrocybe mucronella (Fr.) P. Karst.,Bitterer Saftling,EN,B1ab(iv),,Grasland
Hygrocybe nitrata (Pers.: Fr.) Wuensche,Nichtrötender Nitrat-Saftling,VU,"B1ab(iii,iv)",,Grasland
Hygrocybe obrussea (Fr.: Fr.) Wuensche,Gebuckelter Saftling,VU,"B1ab(ii,iii,iv)+C1",,Grasland
Hygrocybe ovina (Bull.: Fr.) Kuehner,Olivschwarzer Saftling,VU,"B1ab(iii,iv)",,Grasland
Hygrocybe parvula (Peck) Murrill,Schmächtiger Saftling,EN,"B1ab(ii,iii)",,Grasland
Hygrocybe persistens (Britzelm.) Singer,Spitzgebuckelter Saftling,NT,,,Grasland
Hygrocybe punicea (Fr.) P. Kumm.,Granatroter Saftling,VU,"B1ab(ii,iii,iv)",,Grasland
Hygrocybe reidii Kuehner,Honig-Saftling,VU,"B1ab(ii,iii)",,Grasland
Hygrocybe spadicea (Scop.: Fr.) P. Karst.,Schwarzgelber Schleim-Saftling,EN,D2,,Grasland
Hygrocybe subglobispora (P.D. Orton) M.M. Moser,Blaßblättriger Sommer-Saftling,EN,"B1ab(ii,iii)",,Grasland
Hygrophorus arbustivus (Fr.) Fr.,Mehlstiel-Schneckling,VU,"B1ab(iii,iv)",,
Hygrophorus atramentosus (Secr.) Haas et R. Haller,Schwarzfaseriger Schneckling,VU,D1,,
Hygrophorus calophyllus P. Karst.,Schönblättriger Schneckling,EN,B1ab(iv),,
Hygrophorus hedrychii Val.,Birken-Schneckling,VU,B1ab(iii),,
Hygrophorus latitabundus Britzelm.,Großer Kiefern-Schneckling,VU,B1ab(iii),,unter Föhren in Trockenrasen
Hygrophorus leporinus Fr.,Hasen-Schneckling,CR,B1ab(iii)+D1,,
Hygrophorus leucophaeus (Scop.:Fr.) Fr.,Seidiggerandeter Schneckling,VU,"B1ab(iii,iv)",,
Hygrophorus ligatus Fr.,Schleimigberingter Schneckling,VU,B1ab(iii),,unter Föhren in Trockenrasen
Hygrophorus lindtneri M.M. Moser,Hellrandiger Schneckling,VU,B1ab(iii),,
Hygrophorus marzuolus (Fr.) Bres.,März-Schneckling,NT,,,
Hygrophorus mesotephrus Berk. et Broome,Olivgrauer Schneckling,VU,"B1ab(iii,iv)",,
Hygrophorus persicolor Ricek,Flamingo-Schneckling,VU,D1,,Funde aus der Westschweiz fehlen
Hygrophorus pleurotoides J. Favre,Seitenstieliger Schneckling,CR,D1,,Pilz der subalpinen Stufe
Hygrophorus poetarum Heim,Isabellrötlicher Schneckling,VU,B1ab(iii)+2ab(iii),,
Hygrophorus purpurascens (Alb. et Schwein.: Fr.) Fr.,Beschleierter Schneckling,EN,B1ab(iv),,
Hygrophorus russula (Schaeff.: Fr.) Quel.,Geflecktblättriger Purpurschneckling,VU,B1ab(iii),,
Hygrophorus spodoleucus M.M. Moser,Fälblings-Schneckling,CR,D1,,
Hymenochaete cruenta (Pers.: Fr.) Donk,Blutrote Borstenscheibe,VU,"B1ab(iii,iv)",,"An Tannenästern, Aerophyt"
Hymenochaete tabacina (Sowerby: Fr.) Lev.,Tabakbraune Borstenscheibe,VU,B1ab(iv),,
Hymenogaster vulgaris Tul.ap.Berk. et Broome,Rissige Erdnuß,CR,A4a,,Letzte Fundmeldung 1976
Hymenoscyphus albidus (Rob. ex Desm.) Phill.,Weißes Stengelbecherchen,VU,D1,,an Petiolen
Hymenoscyphus equisetinus (Velen.) Dennis,Schachtelhalm-Stengelbecher,VU,D1,,Fühlingsart
Hymenoscyphus imberbis (Bull.: Fr.) Dennis,Bartloses Stielbecherchen,VU,D1,,
Hymenoscyphus immutabilis (Fuckel) Dennis,Wohlgestaltiger Stengelbecherling,NT,,,
Hymenoscyphus rhodoleucus (Fr.:Fr.) Phill.,Rosaweißer Stengelbecherling,VU,D1,,
Hyphoderma capitatum J. Erikss. et A. Strid,Kopfzystiden-Rindenpilz,VU,D1,,
Hyphoderma roseocremeum (Bres.) Donk,Rosafleckiger Rindenpilz,VU,D2,,
Hyphoderma transiens (Bres.) Parmasto,Veränderlicher Rindenpilz,EN,B1ab(iv),,nur aus den Südalpen
Hyphodermella corrugata (Fr.) J. Erikss. et Ryvarden,Runzelig-höckeriger Rindenpilz,VU,B1ab(iv),,
Hyphodontia abieticola (Bourdot et Galzin) J. Erikss.,Zähnchenrindenpilz,VU,D1,,
Hyphodontia cineracea (Bourdot et Galzin) J. Erikss. et Hjortstam,Aschgrauer Zähnchenrindenpilz,NT,,,
Hyphodontia quercina (Pers.: Fr.) J. Erikss.,Eichen-Stachelhaut,VU,D1,,
Hyphodontia rimosissima (Peck) Gilberts,Feinwarziger Zähnchenrindenpilz,NT,,,Übersehen?
Hyphodontia spathulata (Schrad.: Fr.) Parmasto,Abgeplattetstachliger Zähnchenrindenpilz,VU,D1,,
Hyphodontia subalutacea (P. Karst.) J. Erikss.,Alutaceaähnlicher Zähnchenrindenpilz,NT,,,
Hypholoma ericaeoides P.D. Orton,Geriefter Schwefelkopf,EN,B1ab(iii),,
Hypholoma laeticolor (F.H. Moeller) P.D. Orton,Freudiger Schwefelkopf,EN,B1ab(iii),,
Hypholoma polytrichi (Fr.: Fr.) Ricken,Moos-Schwefelkopf,VU,"B1ab(iii,iv)",,
Hypochnicium bombycinum (Sommerf.: Fr.) J. Erikss.,Seidiger Membranrindenpilz,NT,,,
Hypochnicium detriticum (Bourdot et Galzin) J. Erikss. et Ryvarden,Pflanzenrestenbewohnender Membranrindenpilz,VU,D1,,
Hypochnicium vellereum (Ellis et Cragin) Parmasto,Chlamydospor- Membranrindenpilz,NT,,,vor allem im Tessin
Hypocreopsis lichenoides (Tode: Fr.) Seaver,Weiden-Scheinflechtenpilz,EN,D1,,Moorweidengebüsch
Hypoxylon howeianum Peck,Zimtbraune Kohlenbeere,EN,D2,,
Hypoxylon serpens (Pers.:Fr.) Fr.,Gewundene Kohlenbeere,EN,B1ab(iv)+D1,,
Hypsizygus ulmarius (Bull.: Fr.) Redhead,Ulmen-Rasling,EN,B1ab(iii),,"Ulmensterben reduziert die kleine Population, urban!"
Hysterangium separabile Zeller,Gelbe Schwanztrüffel,CR,D1,,
Inocybe agardhii (N. Lund.) P.D. Orton,Feinschuppiger Rißpilz,EN,D1,,"sandige Orte, Spezialstandorte"
Inocybe albovelutipes Stangl,Hellsamtiger Risspilz,EN,D1,,
Inocybe alnea Stangl,Erlen-Risspilz,EN,D1,,
Inocybe amblyspora Kuehner,Stumpfsporiger Risspilz,EN,D1,,
Inocybe auricoma (Batsch) J.E. Lange,Kittfarbener Rißpilz,EN,D1,,
Inocybe bresadolae Massee,Rötlichfuchsiger Risspilz,VU,"Bab(iii,iv)",,"Auenwald, eher wärmere Lagen"
Inocybe calospora Quel.,Schönsporiger Rißpilz,VU,D1,,
Inocybe concinnula J. Favre,Zwergweiden-Risspilz,VU,D2,,alpine Stufe
Inocybe curvipes P. Karst.,Dickfüßiger Rißpilz,VU,"B1ab(iii,iv)",,feuchte Standorte
Inocybe decipiens Bres.,Graubrauner Rißpilz,EN,D1,,
Inocybe dunensis P.D. Orton,Dünen-Risspilz,EN,D1,,
Inocybe flavella P. Karst.,Weissscheiteliger Risspilz,EN,D1,,
Inocybe frigidula J. Favre,Kältevertragender Risspilz,VU,D2,,alpine Stufe
Inocybe geraniodora J. Favre,Geranien-Risspilz,EN,D1,,primär alpine Art
Inocybe griseovelata Kuehner,Graubeschleierter Rißpilz,EN,D1,,
Inocybe gymnocarpa Kuehner,Rotschuppiger Rißpilz,NT,,,
Inocybe hirtelloides Stangl et Veselsky,Falscher Bittermandel-Risspilz,EN,D1,,.
Inocybe humilis J. Favre,Kleinwüchsiger Risspilz,CR,A4a,,Letzte Fundmeldung 1950
Inocybe hygrophorus Kuehner,Schnecklings-Risspilz,CR,D1,,
Inocybe hystrix (Fr.) P. Karst.,Sparriger Rißpilz,VU,"B1ab(iii,iv)",,
Inocybe inodora Velen.,Geruchloser Risspilz,NT,,,
Inocybe leptocystis G.F. Atk.,Dunnwandzystiden-Risspilz,EN,D1,,
Inocybe luteipes J. Favre,Leuchtstiel-Risspilz,VU,D2,,"alpine Art,selten"
Inocybe maculipes J. Favre,Silberwurz-Risspilz,VU,D1,,sehr wenig rezente Funde
Inocybe margaritispora (Berk. ap.Cooke) Sacc.,Graubeigeblättriger Risspilz,VU,B1ab(iii),,
Inocybe melanopus D.E. Stuntz,Braungestiefelter Rißpilz,EN,D1,,
Inocybe monochroa J. Favre,Einfarbiger Risspilz,VU,D2,,
Inocybe mundula (J. Favre) Senn-Irlet,Zierlicher Risspilz,VU,D2,,
Inocybe oblectabilis (Britzelm.) Sacc.,Ansehnlicher Risspilz,VU,B1ab(iii),,
Inocybe ovatocystis Boursier et Kuehner,Rundzystiden-Risspilz,VU,"B1ab(iii,iv)",,warum nicht im Mittelland?
Inocybe paludinella (Peck) Sacc.,Gelblichweißer Rißpilz,NT,,,
Inocybe perlata (Cooke) Sacc.,Breithütiger Risspilz,VU,D2,,
Inocybe proximella P. Karst.,Haselbrauner Risspilz,EN,D1,,Moore
Inocybe pseudohiulca Kuehner,Falscher Höckerspor-Risspilz,VU,D1,,
Inocybe relicina Fr.,Gelbblättriger Risspilz,CR,A4a,,Letzte Fundmeldung 1940
