"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2007","Confirmed","Kenji Nagai",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/kenji_nagai_burma_2007.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","APF News","Camera Operator,Photographer","Human Rights,Politics","Print,Television","Myanmar","Rangoon",,,"Rangoon",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2014","Confirmed","Khaled Abdel Thamer",,"Iraq",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Iraqiya","Camera Operator","Politics","Television","Iraq","Hilla, Babil province",,,"Hilla, Babil province","Hilla, Babil province","Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2015","Confirmed","Khaled al-Washli",,"Yemen",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Masirah TV","Broadcast Reporter","Human Rights,Politics,War","Television","Yemen","Dhamar",,,"Dhamar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Kim Wall",,"Sweden",,,"Female","https://cpj-photos.s3.amazonaws.com/Kim%20Wall-1-2017-08-30-1504125125586.jpg","Tom Wall","Journalist","Killed","Dangerous Assignment","Killed","Freelance","Freelance","Print Reporter","Culture,Human Rights,Politics","Print","Denmark","Copenhagen",,,"Copenhagen",,"Foreign","Local Residents","Confirmed",,"Yes",,,,,,,,,,,,,
"2018","Confirmed","Kirill Radchenko",,"Russia",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Freelance","The Investigations Management Centre (TsUR)","Camera Operator","Human Rights,Business,Corruption,Crime,War,Politics","Television","Central African Republic","Kémo",,,,"Kémo","Foreign","Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2004","Confirmed","Lanka Jayasundara",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Wijeya Publications","Print Reporter","Culture,Sports","Print","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Leiron Kogoya",,"Indonesia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Papua Pos Nabire and Pasifik Pos Dail","Print Reporter","Culture,Human Rights,Politics","Print,Internet","Indonesia","Mulia",,,"Mulia",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Lucas Mebrouk Dolega",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Dolega.Tunisia1.jpg","Reuters","Journalist",,"Dangerous Assignment","Killed","Staff","European Pressphoto Agency","Photographer","Politics","Print,Internet","Tunisia","Tunis",,,"Tunis",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2005","Confirmed","Maheshwar Pahari",,"Nepal",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Rastriya Swabhiman","Print Reporter","Politics,War","Print","Nepal","Pokhara",,,"Pokhara",,"Local","Government Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"1993","Confirmed","María Veronica Tessari",,"Venezuela",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Colombian Media","Print Reporter","Politics","Print","Venezuela","Caracas",,,"Caracas",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2007","Confirmed","Mehboob Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Photographer","Politics","Print","Pakistan","Charsadda",,,"Charsadda",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2016","Confirmed","Mehmood Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","DawnNews","Camera Operator","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television,Internet","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Mick Deane",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/mick.deane.egypt.skynews.youtube.slideshow.headshot.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Sky News","Camera Operator","Human Rights,Politics,War","Television","Egypt","Cairo",,,"Cairo",,"Foreign","Military Officials, Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Mirza Iqbal Hussain",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","News Network International","Photographer","Crime,Human Rights,Politics","Internet","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Mohamed al-Hamdani",,"Iraq",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Itijah","Broadcast Reporter","Culture","Television","Iraq","Ramadi",,,"Ramadi",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2009","Confirmed","Mohammad Imran",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Express TV","Camera Operator","War","Television","Pakistan","Dera Ismail Khan",,,"Dera Ismail Khan",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1996","Confirmed","Mohammad Quamruzzaman",,"Bangladesh",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Neel Sagar","Print Reporter","Politics","Print","Bangladesh","Nilphamari",,,"Nilphamari",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Mona al-Bakkour",,"Syria",,,"Female",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Thawra and Syria al-Qalaa","Editor,Print Reporter","Politics,War","Print,Internet","Syria","Aleppo",,,"Aleppo",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Mosaab al-Shami",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Rassd News Network","Photographer","Human Rights,Politics","Internet","Egypt","Cairo",,,"Cairo",,"Local","Government Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Muammar Khadir Abdelwahad",,"Iraq",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Ayn","Print Reporter","Politics","Print","Iraq","Tikrit",,,"Tikrit",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2007","Confirmed","Muhammad Arif",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","ARY Television","Camera Operator","Politics","Television","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1992","Confirmed","Murodullo Sheraliev",,"Tajikistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Sadoi Mardum","Editor",,"Print","Tajikistan","Dushanbe",,,"Dushanbe",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Mushtaq Khand",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Dharti Television Network and Mehran","Broadcast Reporter,Print Reporter","Crime,Politics,War","Print,Television","Pakistan","Khairpur",,,"Khairpur",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2015","Confirmed","Mustaf Abdi Noor ",,"Somalia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Camera Operator,Photographer","Politics,War","Television,Internet","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Muthanna Abdel Hussein",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/muthana.facebook.jpg","Muthana Abdel Hussein, a cameraman for Al-Iraqiya TV, was killed in Hilla, Iraq in March 2014. (Facebook)","Journalist",,"Dangerous Assignment","Killed","Staff","Al-Iraqiya","Camera Operator","Politics","Television","Iraq","Hilla, Babil province",,,"Hilla, Babil province","Hilla, Babil province","Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2014","Confirmed","Nils Horner",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/nilshorner.ap.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Staff","Sveriges Radio","Broadcast Reporter","Politics,War","Radio","Afghanistan","Kabul",,,"Kabul",,"Foreign","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2007","Confirmed","Noor Hakim Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Daily Pakistan","Print Reporter","Politics,War","Print","Pakistan","Bajaur",,,"Bajaur",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Noramfaizul Mohd",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Mohd.Bernama.kill.jpg","Bernama TV","Journalist",,"Dangerous Assignment","Killed","Staff","Bernama TV","Camera Operator","Human Rights,War","Television","Somalia","Mogadishu",,,"Mogadishu",,"Foreign","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Novruzali Mamedov",,"Azerbaijan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Talyshi Sado","Editor","Culture","Print","Azerbaijan","Baku",,,"Baku",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"1992","Confirmed","Olim Zarobekov",,"Tajikistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Tajikistan Radio","Producer",,"Radio","Tajikistan","Dushanbe",,,"Dushanbe",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2009","Confirmed","Omidreza Mirsayafi",,"Iran",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Iran.1.Mirsayafi.2009.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Freelance","Rooznegar","Internet Reporter","Culture,Politics","Internet","Iran","Tehran",,,"Tehran",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Orkhan Dzhemal",,"Russia",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/DzhemalCap.jpg_7e06d129-3de8-495b-9e28-ae6a5240cc04.jpeg","A screen shot of Dzhemal speaking on Radio Svoboda.","Journalist","Killed","Dangerous Assignment","Killed","Freelance","The Investigations Management Centre (TsUR)","Broadcast Reporter","Business,Crime,Corruption,Human Rights,Politics,War","Television","Central African Republic","Kémo",,,,"Kémo","Foreign","Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group","Confirmed",,"No",,,,,,,,,,,,,
"1997","Confirmed","P. Srinivas Rao",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Camera Operator","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Pervez Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Waqt TV","Broadcast Reporter,Camera Operator","Politics,War","Television","Pakistan","Ghalanai",,,"Ghalanai",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Phamon Phonphanit",,"Thailand",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Sue Samut Atyakam","Print Reporter","Crime","Print","Thailand","Yala",,,"Yala",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2000","Confirmed","Pradeep Bhatia",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/pradeep_bhatia_india_2000.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","The Hindustan Times","Photographer","War","Print","India","Srinagar",,,"Srinagar",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2009","Confirmed","Puniyamoorthy Sathiyamoorthy",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Broadcast Reporter","Politics,War","Radio,Television","Sri Lanka","Mullaitheevu district",,,"Mullaitheevu district",,"Local","Government Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Rajesh Verma",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","IBN 7","Broadcast Reporter,Camera Operator","Crime,Politics","Television","India","Muzaffarnagar, Uttar Pradesh",,,"Muzaffarnagar, Uttar Pradesh",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"1992","Confirmed","Ram Singh Biling",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Azdi Awaz, Daily Ajit","Print Reporter","Corruption,Human Rights,Politics","Print","India","Jalandhar",,,"Jalandhar",,"Local","Government Officials","Confirmed",,,,"No","Yes","No",,,,,,,,,
"2018","Confirmed","Ramiz Ahmadi",,"Afghanistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/RAMIZAhmadicap.jpg_bdf99136-695f-4c63-9972-ad855d4b299d.jpeg","TOLO News","Journalist","Killed","Dangerous Assignment","Killed","Staff","TOLO News","Camera Operator","War","Television","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2008","Confirmed","Rashmi Mohamed",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Sirasa TV","Broadcast Reporter","Politics,War","Television","Sri Lanka","Anuradhapura",,,"Anuradhapura",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2004","Confirmed","Ricardo Ortega",,"Haiti",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ricardo_ortega_haiti_2004.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Antena 3","Broadcast Reporter","Human Rights","Television","Haiti","Port-au-Prince",,,"Port-au-Prince",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2005","Confirmed","Robenson Laraque",,"Haiti",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Tele Contact","Broadcast Reporter","War","Radio","Haiti","Petit-Goâve",,,"Petit-Goâve",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2000","Confirmed","Roberto Martínez",,"Guatemala",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/roberto_mart%2525C3%2525ADnez_guatemala_2000.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Prensa Libre","Photographer","Human Rights","Print","Guatemala","Guatemala City",,,"Guatemala City",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Rory Peck",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Peck.Russia.1993.1.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Staff","ARD Television Company","Camera Operator","Politics","Television","Russia","Moscow",,,"Moscow",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1997","Confirmed","S. Gangadhara Raju",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Camera Operator","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1997","Confirmed","S. Krishna",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Camera Operator","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Sabah al-Bazi",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Al-Bazi.rtr.jpg","Reuters","Journalist",,"Dangerous Assignment","Killed","Staff","Al-Arabiya","Broadcast Reporter","Politics","Television","Iraq","Tikrit",,,"Tikrit",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Saif ur Rehman",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Broadcast Reporter","Crime,Human Rights,Politics","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Salah al-Din Hassan",,"Egypt",,,"Male","https://cpj-photos.s3.amazonaws.com/Hany%20Salah%20el-Din-Family-2017-12-18-1513626838686.JPG","Family photo","Journalist",,"Dangerous Assignment","Killed","Staff","Shaab Masr","Internet Reporter","Human Rights,Politics","Internet","Egypt","Port Said",,,"Port Said",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Saleh Ayyad Hafyana",,"Libya",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Fassato News Agency","Photographer","Culture,Politics","Internet","Libya","Tripoli",,,"Tripoli",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1999","Confirmed","Sam Nimfa-Jan",,"Nigeria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Details","Print Reporter","Human Rights","Print","Nigeria","Kafanchan",,,"Kafanchan",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2018","Confirmed","Samim Faramarz",,"Afghanistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/SamimCap.jpg_ac00c264-82c7-449a-a457-524d3c9460a5.jpeg","TOLO News","Journalist","Killed","Dangerous Assignment","Killed","Staff","TOLO News","Broadcast Reporter","Corruption,Politics,War","Television","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2014","Confirmed","Santiago Ilídio Andrade",,"Brazil",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Bandeirantes","Camera Operator","Politics","Television","Brazil","Rio de Janeiro",,,"Rio de Janeiro",,"Local","Local Residents","Confirmed",,,,"No","No","No",,,,,,,,,
"2000","Confirmed","Saoman Conteh",,"Sierra Leone",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","New Tablet","Print Reporter","Human Rights","Print","Sierra Leone","Freetown",,,"Freetown",,"Local","Paramilitary Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Saqib Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Ummat","Photographer","Business,Corruption","Print,Internet","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2012","Confirmed","Sattar Beheshti",,"Iran",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/sattar.killed.jpg","ICHR","Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Internet Reporter","Corruption,Human Rights,Politics","Internet","Iran","Tehran",,,"Tehran",,"Local","Government Officials","Confirmed",,,,"Yes","Yes","Yes",,,,,,,,,
"2017","Confirmed","Sayed Mehdi Husaini",,"Afghanistan",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Jomhor News Agency","Internet Reporter","Culture","Internet","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2017","Confirmed","Sayeed Khuda Dad Ahamdi",,"Afghanistan",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Afghan Voice Agency","Print Reporter,Internet Reporter","Culture","Internet,Television","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"1993","Confirmed","Sergei Krasilnikov",,"Russia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Ostankino Television Company","Technician","Politics","Television","Russia","Moscow",,,"Moscow",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Shafiullah Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","The News","Print Reporter","Crime,Politics","Print","Pakistan","Wah Cantonment",,,"Wah Cantonment",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2017","Confirmed","Shantanu Bhowmik",,"India",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Dinraat","Broadcast Reporter","Politics","Television","India","West Tripura district",,"Tripura","West Tripura district",,"Local","Mob Violence","Confirmed",,"No",,,,,,,,,,,,,
"2016","Confirmed","Shehzad Ahmed",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Aaj News","Camera Operator","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1992","Confirmed","Shirindzhon Amirdzhonov",,"Tajikistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/amirdzhonov-tajikistan.92.CJES.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Tajikistan Radio","Broadcast Reporter",,"Radio","Tajikistan","Unknown",,,"Unknown",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2008","Confirmed","Siraj Uddin",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","The Nation","Print Reporter",,"Print","Pakistan","Mingora",,,"Mingora",,"Local","Unknown Fire","Confirmed",,,,"No","No","No",,,,,,,,,
"2010","Confirmed","Stanislas Ocloo",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ocloo.01.13.10.jpg","Ocloo family","Journalist",,"Dangerous Assignment","Killed","Freelance","Télévision Togolaise","Broadcast Reporter,Columnist / Commentator","Sports","Television","Angola","Cabinda province",,,"Cabinda province","Cabinda province","Foreign","Political Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Suhaib al-Heeti",,"Iraq",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Freelance","Asiasat","Broadcast Reporter","Politics,War,Human Rights,Culture","Television","Iraq","Heet",,,"Heet","Anbar","Local","Political Group","Confirmed",,"No",,,,,,,,,,,,,
"2009","Confirmed","Sultan Mohammed Munadi",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Munadi.Afghanistan.2009.1ap.jpg","AP","Journalist",,"Dangerous Assignment","Killed","Freelance","The New York Times","Print Reporter","Human Rights,War","Print","Afghanistan","an area near Kunduz",,,"an area near Kunduz",,"Local","Political Group","Confirmed",,,,,"Yes","Yes",,,,,,,,,
"2009","Confirmed","Tahir Awan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Print Reporter","War","Print","Pakistan","Dera Ismail Khan",,,"Dera Ismail Khan",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Taimoor Khan",,"Pakistan",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Samaa TV","Camera Operator","Crime,Politics","Television","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Tamer Abdel Raouf",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Ahram","Print Reporter","Business,Corruption,Crime,Human Rights,Politics","Print","Egypt","Damanhur",,,"Damanhur",,"Local","Government Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Tasar Omer",,,,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Print Reporter","War","Print","Bosnia","Sarajevo",,,"Sarajevo",,"Foreign","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1999","Confirmed","U Hla Han",,"Myanmar",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Kyemon","Print Reporter","Corruption","Print","Myanmar","Rangoon",,,"Rangoon",,"Local","Military Officials","Confirmed",,,,"Yes","Yes","No",,,,,,,,,
"1999","Confirmed","U Tha Win",,"Myanmar",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Kyemon","Print Reporter","Corruption","Print","Myanmar","Rangoon",,,"Rangoon",,"Local","Military Officials","Confirmed",,,,"Yes","Yes","No",,,,,,,,,
"2010","Confirmed","Vijay Pratap Singh",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Indian Express","Print Reporter","Business,Politics","Print","India","Allahabad",,,"Allahabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2000","Confirmed","Vincent Rodriguez",,"Philippines",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/rodriguez_mexico_2008.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","DZMM Radio","Broadcast Reporter","Human Rights,Politics","Radio","Philippines","Sasmuan",,,"Sasmuan",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"1992","Confirmed","Virgilio Fernández",,"Venezuela",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","El Universal","Print Reporter","Politics,War","Print","Venezuela","La Carlota",,,"La Carlota",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1993","Confirmed","Vladimir Drobyshev",,"Russia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Nature and Man","Print Reporter","Politics","Print","Russia","Moscow",,,"Moscow",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"2013","Confirmed","Wadih Sa'ad al-Hamdani",,"Iraq",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Baghdad TV","Broadcast Reporter","Corruption,Crime,Culture,Politics,War","Television","Iraq","Basra",,,"Basra",,"Local","Local Residents","Confirmed",,,,"No","No","No",,,,,,,,,
"2011","Confirmed","Wael Mikhael",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Al-Tareeq","Camera Operator","Culture,Politics","Television","Egypt","Cairo",,,"Cairo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2001","Confirmed","William Biggart",,,,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Biggart.US.2001.1.jpg","Photo Tom McKitterick","Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Photographer","Crime","Print","USA","New York City",,,"New York City",,"Foreign","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
"2018","Confirmed","Yaser Murtaja",,"Israel and the Occupied Palestinian Territory",,,"Male","https://cpj-photos.s3.amazonaws.com/FB-IOPT-2018-04-10-1523368616649.jpg","Facebook/Yaser Murtaja","Journalist","Killed","Dangerous Assignment","Killed","Staff","Ain Media","Camera Operator,Photographer,Producer","Human Rights,Politics","Internet,Television","Israel and the Occupied Palestinian Territory","Khan Yunis",,"Gaza Strip","Khan Yunis",,"Local","Military Officials","Confirmed",,"No",,,,,,,,,,,,,
"1993","Confirmed","Yvan Scopan",,"Russia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","TF-1 Television Company","Camera Operator","Politics","Television","Russia","Moscow",,,"Moscow",,"Local","Military Officials","Confirmed",,,,"No","No","No",,,,,,,,,
"1997","Confirmed","Z.A. Shahid",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Khabrain","Photographer","Politics","Print","Pakistan","Lahore",,,"Lahore",,"Local","Political Group","Confirmed",,,,"No","No","No",,,,,,,,,
